Plot number,Year,Elev(dem),heatload
A292015,2015,2003,0.40950800000
A302015,2015,1689,0.631919652
A312015,2015,1502,0.44215600000
A322015,2015,1529,0.54016700000
A332015,2015,1620,0.33383200000
A342015,2015,1765,0.44171700000
A352015,2015,1794,0.64308900000
A362015,2015,1897,0.66159600000
A372015,2015,1875,0.72168600000
A382015,2015,2065,0.90893400000
A392015,2015,2225,0.59921100000
A402015,2015,2274,0.42614700000
A412015,2015,2285,0.91204400000
A472015,2015,1953,0.53851700000
A492015,2015,1882,0.60953000000
A502015,2015,1809,0.87721300000
A512015,2015,1650,0.74578700000
A522015,2015,1589,0.82247900000
A532015,2015,1653,0.87710000000
A542015,2015,1536,0.80916500000
A552015,2015,2038,0.64503400000
A572015,2015,2048,0.55368700000
A592015,2015,2218,0.53430200000
A602015,2015,2227,0.24152600000
A612015,2015,2254,0.77348700000
A622015,2015,2145,0.36989100000
A632015,2015,1972,0.72990500000
A642015,2015,2059,0.71011000000
A652015,2015,2092,0.59638700000
A662015,2015,2155,0.34544900000
A672015,2015,2308,0.48031600000
A692015,2015,2181,0.62654600000
A702015,2015,2034,0.71204400000
A712015,2015,2183,0.80725600000
A722015,2015,2232,0.94743200000
A732015,2015,2277,0.95241600000
A742015,2015,2348,0.92145200000
A752015,2015,2274,0.67458000000
A762015,2015,2220,0.68215700000
A782015,2015,2201,0.68540100000
A792015,2015,2137,0.72554800000
A802015,2015,2141,0.85824100000
A812015,2015,2042,0.77463900000
A822015,2015,1993,0.62316300000
A832015,2015,1989,0.68072800000
A842015,2015,1979,0.64556400000
A852015,2015,1939,0.69691700000
A862015,2015,1916,0.61419600000
A872015,2015,1893,0.62465100000
A882015,2015,1818,0.58391500000
A892015,2015,1846,0.46453800000
A902015,2015,1917,0.59896300000
A912015,2015,1887,0.83392800000
A922015,2015,1847,0.80025800000
A932015,2015,2030,0.75914500000
A942015,2015,2113,0.41731900000
A962015,2015,2291,0.90178000000
A972015,2015,2288,0.95339500000
A982015,2015,2247,0.85933000000
A992015,2015,2208,0.95142800000
B022015,2015,1925,0.68493900000
B032015,2015,2117,0.539163228
