Plot number,ABCOCAN1969,ABCOSAP1969,ABCOSEED1969,ABLASCAN1969,ABLASSAP1969,ABLASSEED1969,ABMACAN1969,ABMASAP1969,ABMASEED1969,CADECAN1969,CADESAP1969,CADESEED1969,PICBRECAN1969,PICBRESAP1969,PICBRESEED1969,PICENGCAN1969,PICENGSAP1969,PICENGSEED1969,PINCONCAN1969,PINCONSAP1969,PINCONSEED1969,PINLAMCAN1969,PINLAMSAP1969,PINLAMSEED1969,PINMONCAN1969,PINMONSAP1969,PINMONSEED1969,PINPONCAN1969,PINPONSAP1969,PINPONSEED1969,PSMECAN1969,PSMESAP1969,PSMESEED1969,TSMERCAN1969,TSMERSAP1969,TSMERSEED1969
A531969,3,17.5,7,0,0,0,0,0,0,7,17.5,7,0,0,0,0,0,0,0,0,0,17.5,7,3,0,0,0,37.5,7,3,7,17.5,7,0,0,0
A541969,7,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,37.5,7,7,7,7,7,0,0,0
A551969,0,0,0,17.5,7,3,3,3,3,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,7,0,0,0,0,0,0,0,0,3,3,1
A571969,0,0,0,0,0,0,37.5,17.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17.5,17.5,7
A591969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,1,1
A601969,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.5,17.5,3
A611969,0,3,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,0,0,3,0
A621969,0,0,0,0,0,0,7,3,1,0,0,0,7,3,1,0,0,0,0,1,0,0,0,0,7,0,3,0,0,0,0,0,0,17.5,7,3
A631969,0,0,0,7,7,7,7,3,3,0,0,0,0,3,0,0,0,0,17.5,0,3,0,0,0,7,1,0,0,0,0,0,0,0,7,7,3
A641969,0,0,0,17.5,3,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17.5,7,7
A651969,0,0,0,7,7,3,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.5,17.5,7
A661969,0,0,0,0,7,17.5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,7,7
A671969,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,17.5,7
A691969,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
A701969,0,0,0,17.5,7,7,0,7,7,0,0,0,0,0,0,1,0,0,37.5,7,0,0,0,0,7,7,0,0,0,0,0,0,0,7,7,7
A711969,0,0,0,0,7,7,7,7,3,0,0,0,0,0,0,0,0,0,7,17.5,7,0,0,0,7,3,3,0,0,0,0,0,0,7,7,3
A721969,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17.5,7,0
